n_iters,n_seeds,mse_u_mean,mse_u_std,surface_mse_p_mean,surface_mse_p_std,residual_norm_mean,residual_norm_std,residual_error_spearman_mean,residual_error_spearman_std
0,5,1.464305e-01,1.774115e-02,1.381588e+04,1.879072e+03,2.056454e-01,9.804452e-04,0.6690,0.0627
1,5,1.339078e-01,1.624461e-02,1.379579e+04,1.928593e+03,1.997635e-01,2.145371e-03,0.6574,0.0438
3,5,1.326097e-01,1.518083e-02,1.384913e+04,1.959573e+03,2.069604e-01,2.100415e-03,0.6857,0.0332
5,5,1.328792e-01,1.501207e-02,1.386377e+04,1.964442e+03,2.084238e-01,2.203224e-03,0.6937,0.0336
10,5,1.330140e-01,1.500079e-02,1.386740e+04,1.965176e+03,2.087777e-01,2.248190e-03,0.6932,0.0337
15,5,1.330224e-01,1.500258e-02,1.386745e+04,1.965169e+03,2.087883e-01,2.249427e-03,0.6932,0.0337
