arm,metric,mean,std
backbone,mse_u,3.479300088343537,0.10536216225780576
backbone,mse_v,0.38478740920706017,0.01164710679841707
backbone,mse_p,2444.8428462857773,120.71892481011743
backbone,surface_mse_p,548822.832723858,27946.051326309207
backbone,rho_cl,0.9868281707042676,0.0004743598325342548
backbone,rho_cd,0.8954593864846623,0.013340957141286164
backbone,residual_error_spearman,0.3974369359233982,0.0028369875607571295
backbone (no physics loss),mse_u,1.9954137464645791,0.04178313212309606
backbone (no physics loss),mse_v,0.3231244885341769,0.008110172888468516
backbone (no physics loss),mse_p,1963.5333259648332,55.45811595755274
backbone (no physics loss),surface_mse_p,1123649.0086891337,104821.6262881782
backbone (no physics loss),rho_cl,0.9920093002325059,0.00018883798073182013
backbone (no physics loss),rho_cd,0.944531113277832,0.007868132614340533
backbone (no physics loss),residual_error_spearman,0.6045521138028452,0.016237564495953618
backbone + local corrector,mse_u,3.481901621895427,0.05768545721061511
backbone + local corrector,mse_v,0.39807996094788045,0.006762140720819746
backbone + local corrector,mse_p,2469.429796891906,71.03456319617469
backbone + local corrector,surface_mse_p,541533.5916804456,20452.858760659547
backbone + local corrector,rho_cl,0.9854251356283908,0.001682085600922319
backbone + local corrector,rho_cd,0.8878251956298909,0.012045139628860842
backbone + local corrector,residual_error_spearman,0.3890107252681318,0.031264504135681166
backbone + DEQ corrector,mse_u,3.4569361262961222,0.8106303899398213
backbone + DEQ corrector,mse_v,0.8798703948051242,0.06416201807279885
backbone + DEQ corrector,mse_p,3832.6865463622707,331.2776313628177
backbone + DEQ corrector,surface_mse_p,361680.91175442515,12272.79545874857
backbone + DEQ corrector,rho_cl,0.9856166404160106,0.0016691539180072339
backbone + DEQ corrector,rho_cd,0.9228480712017803,0.014469262795576076
backbone + DEQ corrector,residual_error_spearman,0.8265346633665843,0.0020038713213437875
